Name	Symbol	Mass	Abund.
Aluminum	Al(27)	26.981541	100
Antimony	Sb(121)	120.903824	57.3
Antimony	Sb(123)	122.904222	42.7
Argon	Ar(36)	35.967546	0.34
Argon	Ar(38)	37.962732	0.063
Argon	Ar(40)	39.962383	99.6
Arsenic	As(75)	74.921596	100
Barium	Ba(130)	129.906277	0.11
Barium	Ba(132)	131.905042	0.1
Barium	Ba(134)	133.90449	2.42
Barium	Ba(135)	134.905668	6.59
Barium	Ba(136)	135.904556	7.85
Barium	Ba(137)	136.905816	11.23
Barium	Ba(138)	137.905236	71.7
Beryllium	Be(9)	9.012183	100
Bismuth	Bi(209)	208.980388	100
Boron	B(10)	10.012938	19.8
Boron	B(11)	11.009305	80.2
Bromine	Br(79)	78.918336	50.69
Bromine	Br(81)	80.91629	49.31
Calcium	Ca(40)	39.962591	96.95
Calcium	Ca(42)	41.958622	0.65
Calcium	Ca(43)	42.95877	0.14
Calcium	Ca(44)	43.955485	2.086
Calcium	Ca(46)	45.953689	0.004
Calcium	Ca(48)	47.952532	0.19
Cadmium	Cd(106)	105.906461	1.25
Cadmium	Cd(108)	107.904186	0.89
Cadmium	Cd(110)	109.903007	12.49
Cadmium	Cd(111)	110.904182	12.8
Cadmium	Cd(112)	111.902761	24.13
Cadmium	Cd(113)	112.904401	12.22
Cadmium	Cd(114)	113.903361	28.73
Cadmium	Cd(116)	115.904758	7.49
Carbon	C(12)	12	98.9
Carbon	C(13)	13.003355	1.1
Cerium	Ce(136)	135.90714	0.19
Cerium	Ce(138)	137.905996	0.25
Cerium	Ce(140)	139.905442	88.48
Cerium	Ce(142)	141.909249	11.08
Cesium	Cs(133)	132.905433	100
Chlorine	Cl(35)	34.968853	75.77
Chlorine	Cl(37)	36.965903	24.23
Chromium	Cr(50)	49.946046	4.35
Chromium	Cr(52)	51.94051	83.79
Chromium	Cr(53)	52.940651	9.5
Chromium	Cr(54)	53.938882	2.36
Cobalt	Co(59)	58.933198	100
Copper	Cu(63)	62.929599	69.17
Copper	Cu(65)	64.927792	30.83
Dysprosium	Dy(156)	155.924287	0.06
Dysprosium	Dy(158)	157.924412	0.1
Dysprosium	Dy(160)	159.925203	2.34
Dysprosium	Dy(161)	160.926939	18.9
Dysprosium	Dy(162)	161.926805	25.5
Dysprosium	Dy(163)	162.928737	24.9
Dysprosium	Dy(164)	163.929183	28.2
Erbium	Er(162)	161.928787	0.14
Erbium	Er(164)	163.929211	1.61
Erbium	Er(166)	165.930305	33.6
Erbium	Er(167)	166.932061	22.95
Erbium	Er(168)	167.932383	26.8
Erbium	Er(170)	169.935476	14.9
Europium	Eu(151)	150.91986	47.8
Europium	Eu(153)	152.921243	52.2
Fluorine	F(19)	18.998403	100
Gallium	Ga(69)	68.925581	60.1
Gallium	Ga(71)	70.924701	39.9
Gadolinium	Gd(152)	151.919803	0.2
Gadolinium	Gd(154)	153.920876	2.18
Gadolinium	Gd(155)	154.822629	14.8
Gadolinium	Gd(156)	155.92213	20.47
Gadolinium	Gd(157)	156.923967	15.65
Gadolinium	Gd(158)	157.924111	24.84
Gadolinium	Gd(160)	159.927061	21.86
Germanium	Ge(70)	69.92425	20.5
Germanium	Ge(72)	71.92208	27.4
Germanium	Ge(73)	72.923464	7.8
Germanium	Ge(74)	73.921179	36.5
Germanium	Ge(76)	75.921403	7.8
Gold	Au(197)	196.96656	100
Hafnium	Hf(174)	173.940065	0.16
Hafnium	Hf(176)	175.94142	5.2
Hafnium	Hf(177)	176.943233	18.6
Hafnium	Hf(178)	177.94371	27.1
Hafnium	Hf(179)	178.945827	13.74
Hafnium	Hf(180)	179.946561	35.2
Helium	He(3)	3.016029	0.0001
Helium	He(4)	4.002603	100
Holmium	Ho(165)	164.930332	100
Hydrogen	H(1)	1.007825	99.99
Hydrogen	H(2)	2.014102	0.015
Indium	In(113)	112.904056	4.3
Indium	In(115)	114.903875	95.7
Iodine	I(127)	126.904477	100
Iridium	Ir(191)	190.960603	37.3
Iridium	Ir(193)	192.962942	62.7
Iron	Fe(54)	53.939612	5.8
Iron	Fe(56)	55.934939	91.72
Iron	Fe(57)	56.935396	2.2
Iron	Fe(58)	57.933278	0.28
Krypton	Kr(78)	77.920397	0.35
Krypton	Kr(80)	79.916375	2.25
Krypton	Kr(82)	81.913483	11.6
Krypton	Kr(83)	82.914134	11.5
Krypton	Kr(84)	83.911506	57
Krypton	Kr(86)	85.910614	17.3
Lanthanum	La(138)	137.907114	0.09
Lanthanum	La(139)	138.906355	99.91
Lead	Pb(204)	203.973037	1.4
Lead	Pb(206)	205.974455	24.1
Lead	Pb(207)	206.975885	22.1
Lead	Pb(208)	207.976641	52.4
Lithium	Li(6)	6.015123	7.42
Lithium	Li(7)	7.016005	92.58
Lutetium	Lu(175)	174.940785	97.4
Lutetium	Lu(176)	175.942694	2.6
Magnesium	Mg(24)	23.985045	78.9
Magnesium	Mg(25)	24.985839	10
Magnesium	Mg(26)	25.982595	11.1
Manganese	Mn(55)	54.938046	100
Mercury	Hg(196)	195.965812	0.15
Mercury	Hg(198)	197.96676	10.1
Mercury	Hg(199)	198.968269	17
Mercury	Hg(200)	199.968316	23.1
Mercury	Hg(201)	200.970293	13.2
Mercury	Hg(202)	201.970632	29.65
Mercury	Hg(204)	203.973481	6.8
Molybdenum	Mo(92)	91.906809	14.84
Molybdenum	Mo(94)	93.905086	9.25
Molybdenum	Mo(95)	94.905838	15.92
Molybdenum	Mo(96)	95.904676	16.68
Molybdenum	Mo(97)	96.906018	9.55
Molybdenum	Mo(98)	97.905405	24.13
Molybdenum	Mo(100)	99.907473	9.63
Neodymium	Nd(142)	141.907731	27.13
Neodymium	Nd(143)	142.909823	12.18
Neodymium	Nd(144)	143.910096	23.8
Neodymium	Nd(145)	144.912582	8.3
Neodymium	Nd(146)	145.913126	17.19
Neodymium	Nd(148)	147.916901	5.76
Neodymium	Nd(150)	149.9209	5.64
Neon	Ne(20)	19.992439	90.6
Neon	Ne(21)	20.993845	0.26
Neon	Ne(22)	21.991384	9.2
Nickel	Ni(58)	57.935347	68.27
Nickel	Ni(60)	59.930789	26.1
Nickel	Ni(61)	60.931059	1.13
Nickel	Ni(62)	61.928346	3.59
Nickel	Ni(64)	63.927968	0.91
Niobium	Nb(93)	92.906378	100
Nitrogen	N(14)	14.003074	99.63
Nitrogen	N(15)	15.000109	0.37
Osmium	Os(184)	183.952514	0.02
Osmium	Os(186)	185.953852	1.58
Osmium	Os(187)	186.955762	1.6
Osmium	Os(188)	187.95585	13.3
Osmium	Os(189)	188.958156	16.1
Osmium	Os(190)	189.958455	26.4
Osmium	Os(192)	191.961487	41
Oxygen	O(16)	15.994915	99.76
Oxygen	O(17)	16.999131	0.038
Oxygen	O(18)	17.999159	0.2
Palladium	Pd(102)	101.905609	1.02
Palladium	Pd(104)	103.904026	11.14
Palladium	Pd(105)	104.905075	22.33
Palladium	Pd(106)	105.903475	27.33
